Brand,Price,Mileage,Model
Mercedes-Benz,13200,196,Sprinter 313
Volkswagen,1200,300,Caddy
Volkswagen,8900,264,T4 (Transporter)
Mitsubishi,9200,163,Lancer X
Mercedes-Benz,10200,154,C-Class
Mercedes-Benz,9500,246,S 600
Mitsubishi,26850,84,Pajero Wagon
Audi,21900,183,Q7
Volkswagen,1700,250,Polo
Volkswagen,6500,225,Golf IV
Renault,5000,34,Logan
BMW,38000,74,520
Volkswagen,9599,140,Passat B6
Mercedes-Benz,10800,230,C-Class
Toyota,18800,105,Rav 4
Mitsubishi,7650,133,Lancer
Renault,6300,125,Laguna
BMW,5000,75,Z3
Toyota,28500,107,Highlander
BMW,13000,193,735
Toyota,16999,157,Land Cruiser Prado
BMW,34500,160,X5
Volkswagen,10900,204,Passat B6
Mitsubishi,18999,121,Pajero Wagon
BMW,9800,350,530
Volkswagen,4300,298,Golf III
Audi,3900,260,A6
Volkswagen,13499,154,T5 (Transporter) 
Audi,19990,127,A6
Renault,3400,260,Espace
Toyota,27800,157,Camry
Volkswagen,2300,320,Golf II
Renault,7650,151,Kangoo
Volkswagen,10000,220,Caddy
Volkswagen,9700,130,Golf Variant
Audi,3800,270,A6
Toyota,26900,115,Land Cruiser Prado
Toyota,12600,205,Camry
Volkswagen,14899,158,T5 (Transporter) 
Renault,4999,252,Kangoo
BMW,57777,40,X6
Volkswagen,12350,167,Touran
Audi,7999,177,A6
BMW,21600,200,X5
Mitsubishi,8000,67,Lancer X
Volkswagen,6799,1,Golf IV
Toyota,25749.75,0,Camry
Volkswagen,8899,198,Passat B5
Mercedes-Benz,26800,162,S 500
Toyota,25555,128,Land Cruiser 100
Audi,25000,112,Q5
Volkswagen,15800,194,T5 (Transporter) 
BMW,3150,200,320
Toyota,12300,157,Camry
Toyota,45500,45,Highlander
Renault,6500,406,Master
Toyota,18999,95,Rav 4
BMW,8500,260,520
Mercedes-Benz,8500,350,Sprinter 211
Toyota,13500,126,Land Cruiser Prado
Volkswagen,2200,180,Passat B5
Volkswagen,18500,125,Passat B7
Toyota,8420,150,Tacoma
Audi,17500,144,A4
Audi,9000,158,A4
Volkswagen,4400,238,Golf III
Renault,7500,200,Espace
Toyota,17950,87,Camry
BMW,51500,23,X6
Mitsubishi,10800,165,Pajero Sport
Volkswagen,33700,11,Touran
Volkswagen,17000,158,Touareg
Volkswagen,11200,1,Touareg
BMW,4500,140,530
Toyota,43999,0,Hilux
Audi,39800,180,A8
BMW,6500,272,328
Volkswagen,18700,196,Passat B7
Audi,38500,75,Q3
BMW,8200,241,320
Audi,7500,240,A4
Toyota,11550,95,Camry
Mercedes-Benz,39500,30,C-Class
Volkswagen,6200,161,Phaeton
BMW,17200,308,X5
BMW,2900,280,525
Renault,14600,169,Master
BMW,34900,110,X6
Mercedes-Benz,7000,170,CLK 220
Mercedes-Benz,32000,255,Sprinter 318
Renault,7500,168,Grand Scenic
Volkswagen,9000,217,T5 (Transporter)
Mitsubishi,7000,180,Lancer
Audi,2700,234,A6
Volkswagen,10950,165,Caddy
Toyota,15500,120,Camry
Mercedes-Benz,8700,210,S 500
Mercedes-Benz,6000,200,Vito
Mitsubishi,16950,135,Pajero Wagon
Mercedes-Benz,15000,400,Sprinter 212
Toyota,26500,102,Hilux
Mercedes-Benz,3100,400,C-Class
Toyota,59900,90,Land Cruiser 200
Toyota,63000,3,Land Cruiser 76
Mercedes-Benz,19800,218,ML 280
Volkswagen,13000,110,T5 (Transporter)
Audi,12200,130,A6
Mitsubishi,5700,170,Colt
Audi,2550,370,A6
Toyota,13500,144,Camry
Renault,10200,183,Trafic
Audi,13000,161,TT
Volkswagen,10500,210,Phaeton
BMW,3100,315,525
BMW,9400,221,745
Audi,10000,206,A6
Mitsubishi,4200,270,Galant
Renault,7500,131,Megane
Mercedes-Benz,38600,12,E-Class
Toyota,8900,140,Auris
Toyota,24000,270,Land Cruiser 80
Mercedes-Benz,51500,75,CL 63 AMG
Mercedes-Benz,5100,270,S 320
Mitsubishi,4999,60,Lancer
Mitsubishi,9450,125,Lancer X
Audi,3850,215,A6
Renault,7800,170,Megane
Audi,49700,80,Q7
Mitsubishi,9000,78,Galant
Toyota,18990,95,Rav 4
Mitsubishi,7200,102,Lancer
Volkswagen,11900,112,T6 (Transporter) 
Toyota,2800,287,Corolla
Volkswagen,2200,272,Passat B5
Mitsubishi,17500,170,Pajero Wagon
Audi,49900,79,R8
Volkswagen,8650,238,T4 (Transporter)
Audi,8800,205,A4
Mercedes-Benz,69999,0,GLE-Class
Volkswagen,8910.53,103,Polo
Toyota,15500,165,Land Cruiser Prado
Audi,19500,175,Q7
Toyota,27700,21,Camry
Volkswagen,9600,255,T5 (Transporter)
BMW,12500,176,X5
Audi,4799,260,A6 Allroad
Toyota,20900,70,Camry
Audi,14900,203,A6
Toyota,12750,164,Auris
BMW,5900,243,116
Mercedes-Benz,2700,400,E-Class
Audi,4700,400,A6
BMW,77000,64,M6
Renault,5900,250,Trafic
Volkswagen,24000,67,Passat CC
Audi,18400,151,A4
Mercedes-Benz,56800,74,S 63 AMG
Renault,8000,50,Sandero
Mercedes-Benz,5000,382,E-Class
Mitsubishi,9900,98,Lancer X
Mercedes-Benz,18900,111,C-Class
Toyota,20500,139,Land Cruiser Prado
Volkswagen,2500,232,Golf IV
Renault,9000,179,Megane
Renault,7700,100,Megane
Audi,32300,54,A6
Mercedes-Benz,72700,42,V 250
Renault,6200,246,Megane
Audi,4000,400,100
Toyota,9003.15,43,Corolla
Mercedes-Benz,14900,195,CLK 320
BMW,65393.25,0,X5
Renault,9000,158,Trafic
Audi,8500,253,A6
Renault,5900,171,Megane
Mitsubishi,5100,250,Colt
Mercedes-Benz,40500,108,S 500
Audi,8600,154,A6
Mitsubishi,5900,142,Lancer
Volkswagen,17900,123,Passat CC
BMW,34400,37,X1
BMW,13500,138,525
Renault,9600,175,Trafic
Mercedes-Benz,15000,82,SLK 200
Mercedes-Benz,22000,53,CLK 280
Volkswagen,13700,200,Touareg
Toyota,18800,47,Camry
Volkswagen,7600,127,Polo
Toyota,11950,120,Auris
Audi,11300,202,A6
Volkswagen,13500,43,T5 (Transporter) 
Toyota,11990,129,Camry
Toyota,16500,130,Land Cruiser Prado
BMW,19000,215,X5
Renault,5500,160,Kangoo
BMW,39999,45,535
Toyota,15500,140,Camry
Mitsubishi,11700,197,Pajero Sport
Volkswagen,2750,1,Passat B5
Renault,7150,1,Megane
BMW,10500,220,118
Mercedes-Benz,24900,97,E-Class
Mercedes-Benz,26000,22,C-Class
Mercedes-Benz,21500,148,ML 63 AMG
BMW,2222,268,318
BMW,2900,236,320
Volkswagen,4600,1,Golf III
Mercedes-Benz,3200,198,190
Mitsubishi,19400,78,Outlander XL
Renault,4000,215,Laguna
BMW,65099,0,X5
BMW,53999,80,550
Renault,9200,155,Clio
Mercedes-Benz,109999,0,V 250
Mercedes-Benz,23500,170,Vito
Audi,4800,390,100
Toyota,13500,100,Camry
Toyota,8700,131,Corolla
Mercedes-Benz,12300,423,S 500
Mitsubishi,7900,148,Pajero Pinin
Volkswagen,10700,153,Caddy
Renault,6800,185,Kangoo
Renault,8500,157,Scenic
Mitsubishi,18700,97,Pajero Wagon
BMW,1900,285,525
Mercedes-Benz,15500,75,Vito
Volkswagen,8700,148,Polo
Mercedes-Benz,47300,121,S 350
BMW,5000,400,525
Toyota,24000,73,Land Cruiser Prado
Volkswagen,14800,85,Jetta
Mercedes-Benz,6400,290,Vito
Mitsubishi,19000,139,Outlander XL
Mercedes-Benz,11700,211,Vito
Volkswagen,6500,101,Passat B6
Volkswagen,4999,145,Bora
Volkswagen,1900,100,Golf II
Renault,8999,100,Kangoo
Volkswagen,12700,164,Touran
Mercedes-Benz,2200,168,E-Class
BMW,32500,65,328
Volkswagen,16800,149,Passat B7
Mercedes-Benz,8999,360,Vito
Audi,2500,407,A6
BMW,37000,95,750
Volkswagen,19500,82,Passat B7
Volkswagen,10900,240,T5 (Transporter)
BMW,36500,33,328
Renault,7300,154,Kangoo
BMW,17500,125,530
Audi,24500,122,A8
Toyota,15500,146,Rav 4
Mitsubishi,25000,0,Outlander
Mercedes-Benz,11900,167,C-Class
Mercedes-Benz,8000,40,Sprinter 212
Mitsubishi,16900,126,Pajero Wagon
Toyota,8800,205,Rav 4
BMW,13000,220,523
Renault,7500,43,Kangoo
Toyota,8300,140,Camry
Toyota,18700,250,Land Cruiser 100
Toyota,28787.85,0,Camry
Mercedes-Benz,16500,190,C-Class
Mitsubishi,13900,127,Outlander XL
Audi,1350,400,80
Toyota,20859.15,1,Rav 4
Mitsubishi,28800,100,Pajero Wagon
Mercedes-Benz,34900,64,GLK 220
BMW,37500,45,520
Mercedes-Benz,19700,220,E-Class
Mercedes-Benz,12800,116,Vito
Renault,4600,265,Kangoo
Mercedes-Benz,17977,322,Sprinter 318
Volkswagen,11962,0,Polo
Volkswagen,12500,195,Golf VI
Volkswagen,9200,268,T4 (Transporter)
Mercedes-Benz,28500,148,E-Class
Volkswagen,16950,38,Jetta
Mercedes-Benz,24750,212,S 500
Mercedes-Benz,57000,3,ML 250
Toyota,11300,87,IQ
Mercedes-Benz,51000,119,S 500
Audi,3000,270,A4
Toyota,9800,250,Celica
Volkswagen,12850,200,Touareg
BMW,52300,55,5 Series GT
BMW,3650,300,520
BMW,39900,82,X6
Renault,7400,200,Megane
Volkswagen,13999,175,T5 (Transporter) 
Mercedes-Benz,15500,270,S 320
Renault,8500,130,Clio
BMW,32500,86,5 Series GT
Toyota,14700,131,Camry
Volkswagen,6500,310,T4 (Transporter)
Renault,7800,139,Kangoo
Mercedes-Benz,8700,290,Vito
Renault,9000,56,Megane
Mercedes-Benz,14800,139,Vito
Toyota,13400,125,Camry
BMW,7777,375,740
Toyota,6900,92,Yaris
Volkswagen,10500,270,T5 (Transporter)
Audi,7800,90,S4
Mercedes-Benz,4100,215,CLK 430
BMW,4400,260,520
BMW,41500,176,X5
Mercedes-Benz,13999,98,Vito
Mercedes-Benz,16800,116,Vito
BMW,58500,80,X5 M
Volkswagen,10200,280,Passat B5
Mitsubishi,13300,110,Outlander XL
Renault,6300,180,Kangoo
Audi,16999,69,A1
Toyota,20100,48,Rav 4
Volkswagen,10800,100,Passat B6
Mercedes-Benz,14200,245,E-Class
BMW,4700,333,730
BMW,5700,252,525
BMW,11900,300,525
Mercedes-Benz,3750,330,E-Class
Mercedes-Benz,2700,350,300
Volkswagen,2999,239,Passat B5
Mercedes-Benz,8600,240,E-Class
Toyota,6950,192,Avensis
Mitsubishi,22900,69,Outlander XL
Volkswagen,8900,185,Jetta
Volkswagen,7500,317,T5 (Transporter) 
BMW,28700,160,528
Mercedes-Benz,12000,218,Vito
BMW,10999,150,320
Audi,23000,167,Q7
Audi,2550,1,A6
Toyota,8800,388,Land Cruiser 80
Renault,10000,220,Trafic
Renault,6300,73,Kangoo
Toyota,13800,160,Camry
Volkswagen,10750,176,T5 (Transporter) 
Volkswagen,12500,207,Sharan
Mercedes-Benz,5500,250,E-Class
Volkswagen,13300,250,T5 (Transporter)
Volkswagen,20000,115,Touareg
Renault,3500,30,Kangoo
Renault,9300,94,Fluence
Audi,30500,110,A6
Audi,18300,190,A6
Audi,41000,88,Q7
BMW,4100,160,1 Series
Volkswagen,22500,62,Caravelle
Volkswagen,8900,272,Caddy
BMW,13950,278,X5
Volkswagen,8999,125,Caddy
Toyota,14100,67,Auris
Volkswagen,6950,132,Bora
Volkswagen,7350,180,Golf IV
Mercedes-Benz,17500,180,Vito
Mercedes-Benz,20500,222,S 500
Mercedes-Benz,115000,49,S 500
Mitsubishi,11100,132,Grandis
BMW,29900,175,520
Toyota,17595,131,Avensis
Volkswagen,6800,170,Caddy
Audi,4150,249,A6
Toyota,32950,50,Tundra
Mercedes-Benz,7500,406,Vito
BMW,33700,134,X6
Mitsubishi,8350,98,Lancer X
BMW,4100,350,525
BMW,4700,230,525
Mercedes-Benz,14500,207,Vito
Mercedes-Benz,9600,184,Vito
Mercedes-Benz,17800,162,B 180
Mercedes-Benz,40000,152,G 500
Toyota,24000,152,Land Cruiser Prado
Volkswagen,8300,151,T5 (Transporter)
BMW,3800,278,530
Audi,27500,150,A6
Volkswagen,5200,248,Passat B6
Volkswagen,8500,220,Passat B5
Mercedes-Benz,43500,59,S 500
BMW,14000,240,X5
Mitsubishi,11500,191,Pajero Sport
BMW,41000,97,750
Mercedes-Benz,62000,150,GL 350
Audi,35900,143,Q7
Mercedes-Benz,8200,199,Vito
Mercedes-Benz,17300,107,C-Class
Audi,30999,2,A3
BMW,3099,230,530
Audi,5700,250,A4
Volkswagen,7400,178,Passat B5
Toyota,14500,180,Hilux
Volkswagen,7300,214,T4 (Transporter)
Mercedes-Benz,33800,120,ML 350
BMW,3900,330,530
Volkswagen,10700,274,T4 (Transporter)
Audi,17800,177,A8
Mitsubishi,14500,167,Pajero Wagon
Mercedes-Benz,29900,83,E-Class
Mercedes-Benz,8100,330,Vito
Mercedes-Benz,29500,64,CLA 200
Mercedes-Benz,12700,198,Vito
Volkswagen,1199,250,Golf III
Volkswagen,12999,250,T5 (Transporter)
Audi,34419.45,0,Q3
Mitsubishi,8600,145,Lancer X
Renault,10450,106,Trafic
Mercedes-Benz,17800,145,Vito
Audi,3550,215,A6
Mercedes-Benz,114999,0,GLS 350
Renault,13400,190,Laguna
BMW,2250,350,525
Mitsubishi,14999,115,Outlander XL
Volkswagen,10600,140,T6 (Transporter) 
Audi,34000,119,Q5
BMW,33500,65,520
Audi,22800,122,A6
